wl,k
1.661749609,0
1.682163732,0
1.694372178,0
1.710313206,0
1.814325162,0
1.971453865,0
2.059524793,0
2.154090214,0
2.327029855,0
2.439087377,0
3.246145705,0
3.269061559,0
3.304886342,0
3.424369001,0
3.509427846,0
3.558862044,0
3.709266095,0
3.84866253,4.96E-05
4.169884754,0.000107
4.548146438,0.000256
5.003461428,0.00398
5.559846339,0.00563
5.886072024,0.00594
6.254326785,0.00652
6.456466627,0.00657
6.671615468,0.00716
6.761677774,0
6.853741464,0
6.948807231,0
7.046875075,0
7.147944996,0.0106
7.251016301,0
7.358090376,0
7.412127759,0.0148
7.468166527,0
7.524205295,0
7.581244756,0
7.639284908,0
7.697325061,0.0372
7.757366598,0.0474
7.818408827,0.0768
7.879451057,0.132
7.942494671,0.216
8.005538285,0.323
8.070583283,0.446
8.135628282,0.553
8.202674665,0.635
8.27072174,0.704
8.338768816,0.771
8.408817276,0.84
8.48086712,0.903
8.552916965,0.978
8.626968194,1.07
8.702020116,1.17
8.778072729,1.32
8.856126728,1.53
8.935181418,1.85
9.015236801,2.27
9.097293568,2.55
9.180351028,2.63
9.308439641,2.26
9.530593328,1.65
9.762753938,0.962
10.00692286,0.509
10.26710285,0.231
10.53728977,0.102
10.81748361,0.046
11.11769129,0.0506
11.36786436,0.0775
11.63805128,0.116
11.76814128,0.152
11.9082382,0.204
12.05834204,0.267
12.20844588,0.323
12.35854973,0.341
12.50865357,0.343
12.66876434,0.314
12.8288751,0.275
12.99899279,0.227
13.16911048,0.192
13.33922817,0.177
13.79954662,0.157
14.29989276,0.157
14.82025275,0.168
15.39064735,0.182
16.01107657,0.202
16.6815404,0.235
17.251935,0.264
17.87236422,0.298
18.53282113,0.341
18.98313266,0.377
19.24331265,0.415
19.62357572,0.524
20.01384571,0.822
20.42412955,1.28
20.84442031,1.86
21.06457261,2.22
21.29473184,2.39
21.75505029,2.29
22.74573565,1.29
23.82648332,0.738
25.01730714,0.397
26.68846326,0.199
28.5897786,0.13
30.79130163,0.092
33.35307388,0.067
36.3851715,0.056
40.02769142,0.046
100.0692286,0.0159
125.0865357,0.0119
166.815404,0.00862
250.1730714,0.00696
500.3461428,0.00796
