wl,n
1.129441355,1.44888
1.363143031,1.44621
1.39602578,1.44584
1.470517314,1.44497
1.530578865,1.44427
1.661749609,1.44267
1.682163732,1.44241
1.694372178,1.44226
1.710313206,1.44205
1.814325162,1.44069
1.971453865,1.43851
2.059524793,1.43722
2.154090214,1.43576
2.327029855,1.43292
2.439087377,1.43095
3.246145705,1.41314
3.269061559,1.41253
3.304886342,1.41155
3.424369001,1.40819
3.509427846,1.40568
3.558862044,1.40418
3.709266095,1.39936
3.84866253,1.395
4.169884754,1.383
4.548146438,1.365
5.003461428,1.342
5.559846339,1.306
5.886072024,1.278
6.254326785,1.239
6.456466627,1.212
6.671615468,1.175
6.761677774,1.158
6.853741464,1.135
6.948807231,1.107
7.046875075,1.084
7.147944996,1.053
7.251016301,1.014
7.358090376,0.9702
7.412127759,0.9488
7.468166527,0.9175
7.524205295,0.8897
7.581244756,0.86
7.639284908,0.8213
7.697325061,0.7719
7.757366598,0.7037
7.818408827,0.6232
7.879451057,0.5456
7.942494671,0.4677
8.005538285,0.4113
8.070583283,0.3931
8.135628282,0.402
8.202674665,0.4329
8.27072174,0.453
8.338768816,0.46
8.408817276,0.473
8.48086712,0.4746
8.552916965,0.4656
8.626968194,0.4563
8.702020116,0.4309
8.778072729,0.3915
8.856126728,0.3563
8.935181418,0.3705
9.015236801,0.5846
9.097293568,1.043
9.180351028,1.616
9.308439641,2.25
9.530593328,2.76
9.762753938,2.839
10.00692286,2.694
10.26710285,2.448
10.53728977,2.224
10.81748361,2.038
11.11769129,1.869
11.36786436,1.784
11.63805128,1.69
11.76814128,1.652
11.9082382,1.619
12.05834204,1.615
12.20844588,1.658
12.35854973,1.701
12.50865357,1.753
12.66876434,1.789
12.8288751,1.811
12.99899279,1.81
13.16911048,1.779
13.33922817,1.756
13.79954662,1.698
14.29989276,1.643
14.82025275,1.598
15.39064735,1.555
16.01107657,1.502
16.6815404,1.45
17.251935,1.401
17.87236422,1.337
18.53282113,1.235
18.98313266,1.161
19.24331265,1.05
19.62357572,0.8857
20.01384571,0.6616
20.42412955,0.5777
20.84442031,0.7517
21.06457261,1.002
21.29473184,1.484
21.75505029,2.308
22.74573565,2.936
23.82648332,2.912
25.01730714,2.739
26.68846326,2.537
28.5897786,2.388
30.79130163,2.284
33.35307388,2.21
36.3851715,2.147
40.02769142,2.1
100.0692286,1.967
125.0865357,1.962
166.815404,1.959
250.1730714,1.957
500.3461428,1.955
